legacy_band	legacy_kb
composite|B001_0.250kb	0.25
composite|B002_0.306kb	0.306
composite|B003_0.378kb	0.378
composite|B004_0.423kb	0.423
composite|B005_0.488kb	0.488
composite|B006_0.529kb	0.529
composite|B007_0.579kb	0.579
composite|B008_0.627kb	0.627
composite|B009_0.674kb	0.674
composite|B010_0.728kb	0.728
composite|B011_0.780kb	0.78
composite|B012_0.831kb	0.831
composite|B013_0.882kb	0.882
composite|B014_0.931kb	0.931
composite|B015_0.982kb	0.982
composite|B016_1.034kb	1.034
composite|B017_1.084kb	1.084
composite|B018_1.131kb	1.131
composite|B019_1.189kb	1.189
composite|B020_1.236kb	1.236
composite|B021_1.286kb	1.286
composite|B022_1.335kb	1.335
composite|B023_1.385kb	1.385
composite|B024_1.441kb	1.441
composite|B025_1.839kb	1.839
composite|B026_1.890kb	1.89
composite|B027_1.936kb	1.936
composite|B028_1.984kb	1.984
composite|B029_2.037kb	2.037
composite|B030_2.440kb	2.44
composite|B031_2.487kb	2.487
