group_a	group_b	denominator_mode	expected_pct	observed_pct	delta	abs_delta	n_shared_loci	total_composite_loci	tolerance_kb
USA	AFRICA	global_denominator	50.0	48.387	-1.6129999999999995	1.6129999999999995	15	31	0.025
USA	AFRICA	jaccard_denominator	50.0	57.692	7.692	7.692	15	31	0.025
INDIA	AFRICA	global_denominator	37.0	41.935	4.935000000000002	4.935000000000002	13	31	0.025
INDIA	AFRICA	jaccard_denominator	37.0	46.429	9.429000000000002	9.429000000000002	13	31	0.025
INDIA	USA	global_denominator	37.0	38.71	1.7100000000000009	1.7100000000000009	12	31	0.025
INDIA	USA	jaccard_denominator	37.0	42.857	5.856999999999999	5.856999999999999	12	31	0.025
PUERTO_RICO	AFRICA	global_denominator	27.0	25.806	-1.193999999999999	1.193999999999999	8	31	0.025
PUERTO_RICO	AFRICA	jaccard_denominator	27.0	34.783	7.783000000000001	7.783000000000001	8	31	0.025
PUERTO_RICO	USA	global_denominator	27.0	25.806	-1.193999999999999	1.193999999999999	8	31	0.025
PUERTO_RICO	USA	jaccard_denominator	27.0	36.364	9.363999999999997	9.363999999999997	8	31	0.025
PUERTO_RICO	INDIA	global_denominator	23.0	25.806	2.806000000000001	2.806000000000001	8	31	0.025
PUERTO_RICO	INDIA	jaccard_denominator	23.0	36.364	13.363999999999997	13.363999999999997	8	31	0.025
JOHNSONGRASS_USA	AFRICA	global_denominator	27.0	22.581	-4.4190000000000005	4.4190000000000005	7	31	0.025
JOHNSONGRASS_USA	AFRICA	jaccard_denominator	27.0	28.0	1.0	1.0	7	31	0.025
JOHNSONGRASS_USA	USA	global_denominator	30.0	29.032	-0.968	0.968	9	31	0.025
JOHNSONGRASS_USA	USA	jaccard_denominator	30.0	40.909	10.908999999999999	10.908999999999999	9	31	0.025
JOHNSONGRASS_USA	INDIA	global_denominator	30.0	29.032	-0.968	0.968	9	31	0.025
JOHNSONGRASS_USA	INDIA	jaccard_denominator	30.0	40.909	10.908999999999999	10.908999999999999	9	31	0.025
JOHNSONGRASS_USA	PUERTO_RICO	global_denominator	10.0	9.677	-0.3230000000000004	0.3230000000000004	3	31	0.025
JOHNSONGRASS_USA	PUERTO_RICO	jaccard_denominator	10.0	16.667	6.667000000000002	6.667000000000002	3	31	0.025
