set_id	set_type	amplicons_total	all_pairs_spearman_r
historical_guthrie	legacy	13957	0.2991171972
random_set_0001	random	23238	0.2749352281
random_set_0002	random	8328	0.499509357
random_set_0003	random	9328	0.2145186771
random_set_0004	random	9893	0.4942208599
random_set_0005	random	41051	-0.01233953567
random_set_0006	random	20083	0.3047596925
random_set_0007	random	18423	0.5661492965
random_set_0008	random	15866	0.361161703
random_set_0009	random	11368	0.1904819261
random_set_0010	random	29680	0.04849971387
random_set_0011	random	20173	0.3795342397
random_set_0012	random	21318	0.3527372519
random_set_0013	random	12029	0.1553074361
random_set_0014	random	9956	0.4835823153
random_set_0015	random	13615	0.4153141266
random_set_0016	random	20367	0.3886045421
random_set_0017	random	34310	0.2708458853
random_set_0018	random	21512	0.2710538026
random_set_0019	random	9584	0.5061567641
random_set_0020	random	18030	0.2336184903
random_set_0021	random	16299	0.2000823615
random_set_0022	random	18463	0.2432059455
random_set_0023	random	17191	0.2415057834
random_set_0024	random	7366	0.2623377026
random_set_0025	random	20366	0.3381197619
