assembly	fasta_basename	strain	isolate	biosample	bioproject	submitter	geo_loc_name	assembly_name	contig_n50	expected_sequence_records	expected_total_bases	expected_file_bytes
GCA_000149035.1	GCA_000149035.1_C_graminicola_M1_001_V1_genomic.fna	M1.001		SAMN02953757	PRJNA37879	Broad Institute		C_graminicola_M1_001_V1	228959	654	51644307	52358695
GCA_001951205.1	GCA_001951205.1_ASM195120v1_genomic.fna	M5.001		SAMN06043298	PRJNA354205	University of Kentucky	Brazil	ASM195120v1	16615	8455	59914086	61512674
GCA_026652225.1	GCA_026652225.1_CGRA21_genomic.fna		ARG2700-2	SAMN26589426	PRJNA815473	University of Bologna	Argentina: Pergamino	CGRA21	46093	6366	53778362	55153934
GCA_026652245.1	GCA_026652245.1_CGRA14_genomic.fna	CBS 252.59		SAMN26631109	PRJNA815638	University of Bologna	Netherlands: Wageningen	CGRA14	23346	5233	44929710	46069587
GCA_026652265.1	GCA_026652265.1_CGRA20_genomic.fna		CA-N8H	SAMN26631098	PRJNA815636	University of Bologna	Canada: Leamington	CGRA20	52303	3828	57829245	58963551
GCA_026652275.1	GCA_026652275.1_CGRA18_genomic.fna		CA-CHAT-1	SAMN26631096	PRJNA815632	University of Bologna	Canada: Chatman	CGRA18	101245	1401	59226624	60121759
GCA_026652285.1	GCA_026652285.1_CGRA11_genomic.fna		CR10370-50	SAMN26631158	PRJNA815644	University of Bologna	Croatia: Rugvica	CGRA11	19860	7603	58978423	60563378
GCA_026652305.1	GCA_026652305.1_CGRA05_genomic.fna	CBS 113173		SAMN26631143	PRJNA815639	University of Bologna	Zimbabwe	CGRA05	87976	3691	51539737	52591774
GCA_026652315.1	GCA_026652315.1_CGRA19_genomic.fna		CRO-I-41	SAMN26644950	PRJNA815831	University of Bologna	Croatia: Rugvica	CGRA19	102931	1373	59309189	60200864
GCA_026652355.1	GCA_026652355.1_CGRA03_genomic.fna		DMSZ63127	SAMN26645038	PRJNA815832	University of Bologna	Germany	CGRA03	86273	1476	43145614	43848013
GCA_026652695.1	GCA_026652695.1_CGRA07_genomic.fna		NRRL47511	SAMN26646115	PRJNA815857	University of Bologna	USA: Michigan	CGRA07	80848	4280	50305269	51406979
GCA_026652705.1	GCA_026652705.1_CGRA17_genomic.fna		P7565-072-1	SAMN26646122	PRJNA815858	University of Bologna	Portugal: Alvalade	CGRA17	123830	609	60257832	61079571
GCA_026652995.1	GCA_026652995.1_CGRA16_genomic.fna		SW8046-1	SAMN26646203	PRJNA815862	University of Bologna	Switzerland: Zurich	CGRA16	116107	825	60620047	61468120
GCA_026653275.1	GCA_026653275.1_CGRA09_genomic.fna		CRO-I-35	SAMN26643332	PRJNA815829	University of Bologna	Croatia: Rugvica	CGRA09	17486	12673	51324951	53354050
GCA_026653375.1	GCA_026653375.1_CGRA10_genomic.fna		F40300-1	SAMN26645044	PRJNA815838	University of Bologna	France: Garlin	CGRA10	16923	11647	49480776	51374494
GCA_026653475.1	GCA_026653475.1_CGRA15_genomic.fna		F64330-2	SAMN26645053	PRJNA815839	University of Bologna	France: Garlin	CGRA15	17547	11198	52363910	54244528
GCA_026653595.1	GCA_026653595.1_CGRA12_genomic.fna		F64330-7	SAMN26645112	PRJNA815847	University of Bologna	France: Garlin	CGRA12	21336	5182	43764066	44878501
GCA_026653705.1	GCA_026653705.1_CGRA04_genomic.fna		LARS318	SAMN26645409	PRJNA815850	University of Bologna	Nigeria	CGRA04	81286	3505	49263723	50259772
GCA_026654635.1	GCA_026654635.1_CGRA08_genomic.fna		NRRL13649	SAMN26646114	PRJNA815856	University of Bologna	USA: Alabama	CGRA08	59235	2693	49923410	50845018
GCA_026656465.1	GCA_026656465.1_CGRA13_genomic.fna		SW8046-2	SAMN26646204	PRJNA815863	University of Bologna	Switzerland: Zurich	CGRA13	21033	9321	48885120	50516716
GCA_029226625.1	GCA_029226625.1_ASM2922662v1_genomic.fna		M1.001	SAMN31693333	PRJNA900520	University of Salamanca	USA: Missouri	ASM2922662v1	5007504	14	57493959	58213582
GCA_030463195.1	GCA_030463195.1_CgT1-3-3_v1.0_genomic.fna	T1-3-3		SAMN30608793	PRJNA875224	China Agricultural University	China	CgT1-3-3_v1.0	1079996	65	60699984	61465384
