assembly_a	assembly_b	rapd_distance	mash_distance	auxiliary_distance
GCA_000149035.1	GCA_001951205.1	0.04651163	0.00692779	0.88566971
GCA_000149035.1	GCA_026652225.1	0.03488372	0.00575813	0.88864192
GCA_000149035.1	GCA_026652245.1	0.01176471	0.00524205	0.89588164
GCA_000149035.1	GCA_026652265.1	0.03448276	0.00527124	0.88392857
GCA_000149035.1	GCA_026652275.1	0.02325581	0.00535584	0.88243183
GCA_000149035.1	GCA_026652285.1	0.03448276	0.00573148	0.89563777
GCA_000149035.1	GCA_026652305.1	0.03488372	0.0055988	0.89135255
GCA_000149035.1	GCA_026652315.1	0.02325581	0.00564844	0.88293119
GCA_000149035.1	GCA_026652355.1	0.02325581	0.00536237	0.90410959
GCA_000149035.1	GCA_026652695.1	0.01176471	0.00489218	0.8871578
GCA_000149035.1	GCA_026652705.1	0.03488372	0.00635099	0.89147545
GCA_000149035.1	GCA_026652995.1	0.04597701	0.00639234	0.89012209
GCA_000149035.1	GCA_026653275.1	0.03488372	0.00592222	0.88255671
GCA_000149035.1	GCA_026653375.1	0.03488372	0.00582493	0.89270291
GCA_000149035.1	GCA_026653475.1	0.03488372	0.005966	0.8909837
GCA_000149035.1	GCA_026653595.1	0.01176471	0.00570154	0.90913058
GCA_000149035.1	GCA_026653705.1	0.0	0.00119072	0.88554553
GCA_000149035.1	GCA_026654635.1	0.06666667	0.0072717	0.90626709
GCA_000149035.1	GCA_026656465.1	0.04597701	0.00575147	0.87904943
GCA_000149035.1	GCA_029226625.1	0.0	0.00121894	0.87703537
GCA_000149035.1	GCA_030463195.1	0.02325581	0.00610816	0.89196676
GCA_001951205.1	GCA_026652225.1	0.01176471	0.00397816	0.87690925
GCA_001951205.1	GCA_026652245.1	0.03488372	0.00571484	0.9063867
GCA_001951205.1	GCA_026652265.1	0.03448276	0.00478442	0.86608459
GCA_001951205.1	GCA_026652275.1	0.02325581	0.00449292	0.87463426
GCA_001951205.1	GCA_026652285.1	0.03448276	0.00411458	0.86492622
GCA_001951205.1	GCA_026652305.1	0.03488372	0.00461146	0.88193202
GCA_001951205.1	GCA_026652315.1	0.02325581	0.00408417	0.86980108
GCA_001951205.1	GCA_026652355.1	0.02325581	0.00602003	0.90793928
GCA_001951205.1	GCA_026652695.1	0.03488372	0.00574147	0.89356052
GCA_001951205.1	GCA_026652705.1	0.01176471	0.00371142	0.86389457
GCA_001951205.1	GCA_026652995.1	0.04597701	0.00369061	0.86363636
